Name,Score,Genres,Type,Episodes,Producers,Studios,Source,Duration,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch
Shijou Saikyou no Deshi Kenichi OVA,7.93,"Action, Martial Arts, Comedy, School, Shounen",OVA,11.0,"Strawberry Meets Pictures, Bouncy",Brain's Base,Manga,27 min. per ep.,634.0,2334.0,47165,104,5420,29136,2009,861,9739
Ijou Chitai: Jikken Dorei,5.87,Hentai,OVA,2.0,Studio 9 MAiami,Majin,Visual novel,16 min. per ep.,853.0,7665.0,3200,3,368,1608,199,152,873
Enshou Nihon Mukashibanashi,5.17,"Hentai, Comedy, Historical",OVA,1.0,Japan Home Video,Majin,Visual novel,30 min.,854.0,11482.0,656,0,38,313,25,73,207
Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,7.41,"Action, Hentai, Fantasy",OVA,6.0,Japan Home Video,Majin,Visual novel,25 min. per ep.,855.0,3144.0,27269,669,3097,15690,1305,1051,6126
Manga Mitokoumon,6.49,Historical,TV,46.0,Knack Animation,Sparkly Key Animation Studio,Novel,24 min. per ep.,5975.0,12030.0,520,1,40,207,18,63,192
Qin Shi Ming Yue: Zhu Zi Bai Jia,7.03,"Action, Historical, Martial Arts, Fantasy",TV,34.0,Knack Animation,Sparkly Key Animation Studio,Novel,22 min. per ep.,3519.0,10274.0,1084,8,69,354,38,83,540
Zetman,6.89,"Action, Drama, Horror, Romance, Sci-Fi, Seinen, Supernatural",TV,13.0,"TV Asahi, Asatsu DK, YTV, Toho, Sakura Create, TMS Music",TMS Entertainment,Manga,24 min. per ep.,4096.0,1295.0,110214,251,5522,66331,3327,6494,28540
Qin Shi Ming Yue: Ye Jin Tianming,6.81,"Action, Historical, Martial Arts, Fantasy",TV,18.0,"TV Asahi, Asatsu DK, YTV, Toho, Sakura Create, TMS Music",Sparkly Key Animation Studio,Novel,22 min. per ep.,4408.0,10384.0,1027,5,60,396,30,82,459
Danshi Koukousei no Nichijou,8.28,"Slice of Life, Comedy, School",TV,12.0,"TV Tokyo, Square Enix, Trinity Sound, Happinet Pictures",Sunrise,Web manga,24 min. per ep.,238.0,180.0,593890,11564,36701,364587,25786,16289,150527
Pokemon: Pikachu no Summer Bridge Story,6.23,"Adventure, Comedy, Fantasy, Kids",Special,1.0,"TV Tokyo, Square Enix, Trinity Sound, Happinet Pictures",OLM,Manga,20 min.,7190.0,6860.0,4333,0,66,2596,87,103,1481
Houkago Nyannyan,6.01,Hentai,OVA,1.0,"Studio 9 MAiami, Queen Bee",Arms,Manga,19 min.,856.0,6659.0,4660,14,365,2453,224,212,1406
Judo Sanka,6.509999194911844,"Sports, Shounen",TV,27.0,Tokyo Movie Shinsha,Arms,Other,21 min. per ep.,14716.0,12888.0,368,0,20,92,14,70,172
Queen's Blade: Rebellion,6.32,"Action, Adventure, Ecchi, Fantasy",TV,12.0,"Genco, Media Factory, AT-X, Hobby Japan",Arms,Other,24 min. per ep.,6799.0,2740.0,35047,52,1957,16032,1079,1691,14288
Cipher,4.72,"Drama, Music",OVA,1.0,Victor Entertainment,Magic Bus,Manga,26 min.,10802.0,5351.0,7998,56,152,4862,72,88,2824
Bloody Night,3.91,"Horror, Psychological, Supernatural, Thriller",ONA,1.0,Victor Entertainment,Tatsunoko Production,Original,5 min.,11012.0,8288.0,2500,1,27,2086,8,53,326
Oraa Guzura Dado (1987),6.19,"Comedy, Kids",TV,44.0,Victor Entertainment,Tatsunoko Production,Visual novel,30 min. per ep.,7382.0,12303.0,474,0,12,262,16,74,110
Oni Chichi: Re-born,7.36,Hentai,OVA,2.0,Victor Entertainment,PoRO,Visual novel,30 min. per ep.,857.0,3113.0,27630,219,1490,20723,684,571,4162
Nendo no Tatakai 2,3.26,"Action, Comedy",ONA,1.0,Victor Entertainment,SILVER LINK.,Original,1 min.,11055.0,9002.0,1897,3,10,1738,4,39,106
Kokoro Connect,7.82,"Slice of Life, Comedy, Supernatural, Drama, Romance, School",TV,13.0,"Starchild Records, Enterbrain",SILVER LINK.,Light novel,24 min. per ep.,793.0,161.0,632426,7259,28159,398032,17162,16625,172448
The iDOLM@STER: 765 Pro to Iu Monogatari,7.47,"Music, Comedy, Drama",Special,1.0,Aniplex,A-1 Pictures,Game,24 min.,1665.0,3672.0,19862,13,291,14161,173,132,5105
Nendo no Tatakai,3.23,"Action, Comedy",ONA,1.0,Aniplex,Tatsunoko Production,Original,1 min.,11050.0,8527.0,2287,3,15,2072,6,43,151
Pretty Rhythm: Aurora Dream - Prism Shougekijou,6.74,"Comedy, Shoujo",Special,51.0,Aniplex,Tatsunoko Production,Game,2 min. per ep.,4706.0,8430.0,2379,9,117,1189,90,132,851
Within the Bloody Woods,3.39,Horror,ONA,2.0,Aniplex,SynergySP,Original,2 min. per ep.,11025.0,8731.0,2075,0,20,1801,10,53,191
Major: World Series,8.35,"Comedy, Drama, Shounen, Sports",OVA,2.0,Aniplex,SynergySP,Manga,28 min. per ep.,188.0,2992.0,29532,101,520,23322,218,304,5168
Zoku Attacker You! Kin Medal e no Michi,6.11,"Sports, Romance",TV,52.0,Knack Productions,"Madhouse, Studio Gokumi",Light novel,23 min. per ep.,7758.0,10826.0,853,2,29,418,18,101,287
Oda Nobuna no Yabou,7.46,"Comedy, Historical, Romance",TV,12.0,"Pony Canyon, AT-X, KlockWorx, SoftBank Creative","Madhouse, Studio Gokumi",Light novel,24 min. per ep.,1703.0,599.0,242603,1115,11215,159454,6185,8087,57662
Moeru! Oniisan (OVA),6.509999194911844,Comedy,OVA,2.0,"Pony Canyon, AT-X, KlockWorx, SoftBank Creative",Studio Pierrot,Manga,35 min. per ep.,15617.0,13413.0,307,0,21,111,8,36,131
Love Bitch: Yasashii Onna,6.24,Hentai,OVA,1.0,MS Pictures,Shaft,Manga,16 min.,858.0,6683.0,4625,25,387,2893,182,165,998
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.23,"Psychological, Drama, Magic, Thriller",Movie,1.0,"Aniplex, Mainichi Broadcasting System, Movic, Nitroplus, Houbunsha",Shaft,Original,2 hr. 10 min.,282.0,927.0,160720,1008,2153,117897,1267,872,38531
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.39,"Drama, Magic, Psychological, Thriller",Movie,1.0,"Aniplex, Mainichi Broadcasting System, Movic, Nitroplus, Houbunsha",Shaft,Original,1 hr. 49 min.,162.0,912.0,162794,1078,2167,117551,1188,860,41028
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.44,"Mystery, Psychological, Drama, Magic, Thriller",Movie,1.0,"Aniplex, Mainichi Broadcasting System, Movic, Nitroplus, Houbunsha",Shaft,Original,1 hr. 56 min.,133.0,490.0,287972,8796,4222,220045,2003,1033,60669
Guilstein,6.509999194911844,"Action, Horror, Sci-Fi",Movie,1.0,ACC Production,Studio 9 MAiami,Visual novel,1 hr. 30 min.,14196.0,11519.0,635,0,35,124,11,46,419
Tsundere Inran Shoujo Sukumi,6.55,Hentai,OVA,2.0,"DAX Production, Media Bank",Studio 9 MAiami,Visual novel,17 min. per ep.,859.0,5428.0,7753,34,682,4386,359,275,2051
One Piece 3D: Gekisou! Trap Coaster,7.02,"Action, Adventure, Fantasy, Comedy, Shounen",Movie,1.0,"DAX Production, Media Bank",Toei Animation,Manga,12 min.,3575.0,3891.0,17560,34,346,10965,307,331,5611
What's Michael?,5.82,Comedy,OVA,1.0,Kitty Films,Sunrise,Manga,55 min.,8780.0,11009.0,783,2,32,351,12,56,332
Tiger & Bunny Movie 1: The Beginning,7.44,"Action, Super Power, Comedy, Mystery",Movie,1.0,Tohokushinsha Film Corporation,Sunrise,Original,1 hr. 33 min.,1788.0,3617.0,20428,12,271,12588,162,125,7282
Tiger & Bunny Movie 2: The Rising,7.81,"Action, Mystery, Comedy, Super Power",Movie,1.0,Tohokushinsha Film Corporation,Sunrise,Original,1 hr. 40 min.,815.0,3372.0,23523,48,382,12965,205,150,9821
Poyopoyo Kansatsu Nikki,7.68,"Slice of Life, Comedy, Seinen",TV,52.0,"DAX Production, Dream Creation, Möbius Tone",Studio Deen,4-koma manga,3 min. per ep.,1088.0,3767.0,18640,143,2195,8595,1620,1536,4694
Anne no Nikki: Anne Frank Monogatari,6.2,"Drama, Historical",Special,1.0,"DAX Production, Dream Creation, Möbius Tone",Nippon Animation,Original,1 hr. 25 min.,7316.0,11085.0,761,2,23,230,20,76,412
Uchuu Senkan Yamato 2199,8.37,"Action, Military, Sci-Fi, Space, Drama",OVA,26.0,"Production I.G, Bandai Visual, OLM, Lantis, Shochiku, Bandai, Tohokushinsha Film Corporation, Bandai Namco Games, Voyager Entertainment","Xebec, AIC",Original,25 min. per ep.,172.0,1492.0,92324,1538,6011,36131,3433,1782,44967
Kingdom,8.04,"Action, Historical, Military, Seinen",TV,38.0,NHK,Studio Pierrot,Manga,25 min. per ep.,490.0,1102.0,135459,1074,8529,55016,4368,6713,60833
Dwaeji-ui Wang,6.8,"Psychological, Drama, Thriller, Seinen",Movie,1.0,Studio Dadashow,"J.C.Staff, Kitty Films",Manga,1 hr. 36 min.,4425.0,6360.0,5241,26,143,2251,64,75,2708
What's Michael? 2,6.05,Comedy,OVA,1.0,Studio Dadashow,"J.C.Staff, Kitty Films",Manga,44 min.,8012.0,12521.0,429,0,19,209,7,43,151
What's Michael? (TV),6.509999194911844,Comedy,TV,45.0,Studio Jack,Daume,Manga,25 min. per ep.,12849.0,11698.0,601,1,27,120,23,78,353
Fairy Tail Movie 1: Houou no Miko,7.41,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",Movie,1.0,"TV Tokyo, Dentsu","Satelight, A-1 Pictures",Manga,1 hr. 26 min.,1881.0,898.0,165024,569,2184,139800,870,605,21565
Mardock Scramble: The Third Exhaust,7.45,"Action, Psychological, Sci-Fi",Movie,1.0,"Aniplex, Starchild Records",GoHands,Novel,1 hr. 8 min.,1753.0,2902.0,31264,53,532,20545,318,152,9717
Brandish,6.71,"Hentai, Demons, Supernatural",OVA,2.0,Mary Jane,Studio Eromatick,Manga,17 min. per ep.,860.0,4315.0,13783,81,1059,8998,511,415,2800
My Imouto: Koakuma na A-Cup,6.66,Hentai,OVA,2.0,Mary Jane,Seven,Light novel,15 min. per ep.,861.0,4900.0,10014,37,697,6317,351,314,2335
Otome Dori,5.68,Hentai,OVA,2.0,Mary Jane,Seven,Manga,20 min. per ep.,862.0,4023.0,16157,161,1083,10301,548,623,3602
Injuu Seisen XX,5.55,"Action, Hentai, Supernatural",OVA,4.0,Daiei,Arms,Original,27 min. per ep.,863.0,10478.0,988,3,78,405,41,85,379
Queen's Blade OVA Specials,6.09,"Action, Adventure, Ecchi, Fantasy",Special,2.0,"Genco, Media Factory, Hobby Japan",Arms,Other,20 min. per ep.,7827.0,5172.0,8654,4,373,4821,190,159,3111
Rurouni Kenshin Special,7.34,"Action, Historical, Romance, Samurai, Shounen",Special,1.0,"SME Visual Works, Fuji TV",Studio Deen,Manga,25 min.,2175.0,4054.0,16016,42,312,11452,211,119,3922
Hajime no Ippo: Boxer no Kobushi,8.11,"Comedy, Drama, Shounen, Sports",Special,1.0,VAP,Madhouse,Manga,23 min.,398.0,2582.0,38877,77,560,32989,197,222,4909
Black★Rock Shooter,7.06,"Action, Music",Music,1.0,VAP,Studio 4°C,Other,4 min.,3381.0,1995.0,60025,376,1118,46534,633,851,10889
Mahou Shoujo Lyrical Nanoha: Lyrical Toy Box,5.76,"Magic, Music",Music,1.0,VAP,Studio 4°C,Manga,3 min.,8970.0,8000.0,2764,5,60,1614,36,74,980
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,7.92,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1.0,"Yahoo! Japan, Good Smile Company, Beyond C., Rialto Entertainment",Studio 4°C,Manga,1 hr. 32 min.,648.0,980.0,151419,571,1867,130415,633,500,18004
Berserk: Ougon Jidai-hen III - Kourin,8.21,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1.0,"Yahoo! Japan, Good Smile Company, Beyond C., Rialto Entertainment",Studio 4°C,Manga,1 hr. 50 min.,297.0,942.0,158141,1196,2350,132010,739,603,22439
Detective Conan Movie 16: The Eleventh Striker,7.74,"Adventure, Comedy, Mystery, Police, Shounen, Sports",Movie,1.0,"Yahoo! Japan, Good Smile Company, Beyond C., Rialto Entertainment",TMS Entertainment,Manga,1 hr. 50 min.,931.0,2884.0,31940,30,352,27929,172,202,3285
Natsu-iro Kiseki,7.02,"School, Slice of Life, Supernatural",TV,12.0,"Aniplex, Lantis, Mainichi Broadcasting System, Atelier Musa, Music Ray'n",Sunrise,Original,24 min. per ep.,3575.0,2619.0,37915,84,2018,15947,1541,2676,15733
Towa no Kizuna,6.08,Music,Music,1.0,"Aniplex, Lantis, Mainichi Broadcasting System, Atelier Musa, Music Ray'n",C2C,4-koma manga,3 min.,7903.0,7239.0,3765,2,72,2846,40,92,715
Yurumates 3D,6.3,"Slice of Life, Comedy, Seinen",TV,13.0,"DAX Production, Takeshobo, Right Gauge, Dwango Music Entertainment",C2C,4-koma manga,3 min. per ep.,6923.0,5583.0,7256,6,334,4456,275,629,1562
30-sai no Hoken Taiiku Specials,6.19,"Parody, Romance, Ecchi, Seinen",Special,3.0,"DAX Production, Takeshobo, Right Gauge, Dwango Music Entertainment",Gathering,Original,10 min. per ep.,7399.0,6252.0,5462,3,208,2647,158,168,2281
Sekaikei Sekai Ron,5.8,"Sci-Fi, Psychological",OVA,1.0,"DAX Production, Takeshobo, Right Gauge, Dwango Music Entertainment",CoMix Wave Films,Original,4 min.,8845.0,10539.0,962,2,16,573,14,21,338
Ra/Radio Noise*Planet,5.84,"Adventure, Psychological, Sci-Fi",OVA,1.0,"DAX Production, Takeshobo, Right Gauge, Dwango Music Entertainment",CoMix Wave Films,Original,2 min.,8703.0,10787.0,866,1,21,547,13,29,256
Robotica*Robotics,6.87,"Psychological, Sci-Fi, Shounen Ai, Slice of Life",OVA,1.0,"DAX Production, Takeshobo, Right Gauge, Dwango Music Entertainment",CoMix Wave Films,Original,10 min.,4170.0,4506.0,12412,61,200,8402,87,115,3608
Wanpaku Tanteidan,6.509999194911844,"Action, Mystery",TV,35.0,Fuji TV,Mushi Production,Novel,25 min. per ep.,12795.0,11976.0,534,0,23,95,33,81,302
Kaze no Matasaburou,5.79,"Slice of Life, Kids, Fantasy",OVA,1.0,Konami,Madhouse,Novel,29 min.,8898.0,10631.0,929,0,25,451,15,40,398
Swing Out Sisters,7.23,Hentai,OVA,1.0,BreakBottle,RG Animation Studios,Manga,30 min.,864.0,4426.0,12905,73,968,7952,451,371,3163
Backkom,5.84,"Comedy, Kids",TV,52.0,BreakBottle,RG Animation Studios,Original,3 min. per ep.,8712.0,9651.0,1468,6,47,998,38,181,204
AKB0048,7.39,"Music, Sci-Fi",TV,13.0,"Starchild Records, Magic Capsule, GANSIS",Satelight,Original,23 min. per ep.,1940.0,2141.0,54160,686,2107,31555,1807,3102,15589
Busou Chuugakusei: Basket Army,5.74,"Action, Military",ONA,5.0,"Enterbrain, StudioRF Inc.",Asread,Manga,4 min. per ep.,9023.0,6012.0,5986,4,550,2674,469,405,1888
Ginga Tetsudou 999: Hoshizora wa Time Machine,6.36,"Drama, Sci-Fi",Movie,1.0,"Enterbrain, StudioRF Inc.",Toei Animation,Visual novel,32 min.,6606.0,11012.0,787,0,24,218,37,50,458
Niji no Kanata e! Shoujo Diana Monogatari,6.509999194911844,"Historical, Shoujo",Special,1.0,"Enterbrain, StudioRF Inc.",AIC Build,Visual novel,23 min.,11154.0,13290.0,323,1,17,100,3,40,163
Koi to Senkyo to Chocolate,7.09,"Drama, Romance, School",TV,12.0,"Aniplex, Lantis, TBS, Magic Capsule",AIC Build,Visual novel,25 min. per ep.,3249.0,812.0,184264,407,9944,104403,5096,6524,58297
Nihon Omoshiro Mukashibanashi,6.509999194911844,"Comedy, Historical, Parody",TV,12.0,Crossphere,TMS Entertainment,Picture book,12 min. per ep.,11159.0,13776.0,279,1,20,75,6,52,126
Mameushi-kun,6.509999194911844,"Comedy, Fantasy, Kids",TV,52.0,Sotsu,TMS Entertainment,Picture book,15 min. per ep.,15411.0,15248.0,180,0,11,50,8,45,66
Carnival Phantasm EX Season,7.48,"Comedy, Supernatural",OVA,1.0,Notes,Lerche,Manga,20 min.,1626.0,2569.0,39340,10,524,31970,316,163,6367
Hyouka,8.14,"Mystery, School, Slice of Life",TV,22.0,"Lantis, Kadokawa Shoten, KlockWorx, chara-ani.com, Animation Do",Kyoto Animation,Novel,25 min. per ep.,374.0,81.0,940736,21242,71917,513461,49882,36279,269197
Smile Precure!,6.74,"Action, Magic, Fantasy, Shoujo",TV,48.0,Saban Brands,Toei Animation,Original,24 min. per ep.,4731.0,3128.0,27528,299,2428,14434,1898,2467,6301
Precure All Stars Movie New Stage: Mirai no Tomodachi,7.11,"Fantasy, Magic, Shoujo",Movie,1.0,Marvelous AQL,Toei Animation,Original,1 hr. 13 min.,3144.0,6802.0,4428,8,83,2960,50,84,1251
s.CRY.ed Alteration II: Quan,6.82,"Action, Sci-Fi, Adventure, Super Power, Shounen",Movie,1.0,Marvelous AQL,Sunrise,Original,1 hr. 33 min.,4341.0,7365.0,3587,2,88,1329,84,65,2021
Galaxy Angel S,6.89,"Sci-Fi, Comedy",OVA,1.0,Bandai Visual,Madhouse,Manga,24 min.,4086.0,8868.0,1979,2,51,1198,40,41,649
Dragon Ball: Episode of Bardock,7.18,"Action, Sci-Fi, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen",Special,1.0,Bandai Visual,Toei Animation,Manga,19 min.,2858.0,1651.0,81549,91,822,75722,225,235,4545
Koi-ken!: Watashitachi Anime ni Nacchatta!,5.77,"Ecchi, Music",ONA,12.0,Bandai Visual,Marvy Jack,Manga,4 min. per ep.,8948.0,6674.0,4638,5,212,1807,109,184,2326
Game Center Arashi,6.509999194911844,"Comedy, Game, Kids, Shounen",TV,26.0,Studio Jack,Shin-Ei Animation,Visual novel,24 min. per ep.,14059.0,12493.0,436,2,21,102,17,57,239
Carnival Phantasm: Illya-jou,6.92,"Parody, Comedy",Special,1.0,Notes,Lerche,Visual novel,8 min.,3916.0,2961.0,30187,10,299,25641,207,153,3887
Mikeneko Holmes no Yuurei Joushu,5.88,"Comedy, Drama, Mystery",OVA,1.0,Notes,AIC,Novel,45 min.,8589.0,12675.0,402,0,13,180,8,35,166
Takara-sagashi,6.28,"Adventure, Fantasy, Kids",Movie,1.0,Notes,Studio Ghibli,Picture book,9 min.,7011.0,9724.0,1418,0,47,320,53,73,925
Kinnikuman II Sei: Muscle Ninjin Soudatsu sen! Choujin Daisensou,6.64,"Action, Comedy, Drama, Romance, Martial Arts, Samurai",Movie,1.0,Notes,Toei Animation,Original,40 min.,5207.0,10512.0,976,0,33,479,14,58,392
Rinne no Lagrange Season 2,6.99,"Action, Comedy, Mecha, Sci-Fi",TV,12.0,"Production I.G, Bandai Visual, Yomiuri Telecasting, flying DOG",Xebec,Original,24 min. per ep.,3683.0,3261.0,25263,18,1041,15165,1003,941,7113
Acchi Kocchi (TV),7.51,"Slice of Life, Comedy, Romance, School",TV,12.0,"Pony Canyon, TBS, DAX Production, BS-TBS, Jumondo, Houbunsha",AIC,4-koma manga,25 min. per ep.,1537.0,578.0,253071,2400,12489,152078,9003,10842,68659
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,7.05,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance",TV,13.0,"Lantis, AT-X, Barnum Studio, Magic Capsule, Warner Bros. Japan, KlockWorx, Shueisha, Bulls Eye",Diomedéa,Light novel,24 min. per ep.,3450.0,459.0,303861,1288,12875,223807,6803,11689,48687
Tobacco to Hai,5.43,Adventure,Movie,1.0,"Lantis, AT-X, Barnum Studio, Magic Capsule, Warner Bros. Japan, KlockWorx, Shueisha, Bulls Eye",Mushi Production,Manga,4 min.,9840.0,10735.0,876,2,17,611,9,48,191
Upotte!!,6.51,"Action, Comedy, Military, Seinen",ONA,10.0,"DAX Production, Nippon Columbia",Xebec,Manga,24 min. per ep.,5842.0,1937.0,63453,160,3294,34305,2173,4665,19016
Thermae Romae,7.02,"Comedy, Historical, Seinen",TV,3.0,"Dentsu, Fuji TV, Toho, Sony Music Entertainment","Gonzo, DLE",Manga,24 min. per ep.,3585.0,3603.0,20600,30,673,12747,364,659,6157
Soukou Kihei Votoms Recaps,6.17,"Action, Drama, Mecha, Military, Sci-Fi",OVA,4.0,"Dentsu, Fuji TV, Toho, Sony Music Entertainment",Sunrise,Original,57 min. per ep.,7488.0,11234.0,724,0,31,269,15,61,348
Trip Trek,6.509999194911844,"Adventure, Fantasy, Comedy",ONA,4.0,"Dentsu, Fuji TV, Toho, Sony Music Entertainment",Manglobe,Light novel,5 min. per ep.,12611.0,13630.0,289,0,11,134,9,43,92
Dirty Pair Flash 2,6.66,"Action, Sci-Fi, Adventure, Comedy, Police",OVA,5.0,VAP,Sunrise,Light novel,27 min. per ep.,5094.0,7785.0,3044,3,87,1736,67,55,1099
Dirty Pair Flash 3,6.56,"Action, Sci-Fi, Adventure, Comedy, Police",OVA,5.0,VAP,Sunrise,Light novel,27 min. per ep.,5561.0,7955.0,2821,1,90,1565,68,48,1050
eX-Driver the Movie Specials,6.35,Comedy,Special,3.0,"Bandai Visual, Genco",Studio Chizu,Original,4 min. per ep.,6629.0,10682.0,903,1,27,483,22,32,339
Ookami Kodomo no Ame to Yuki,8.64,"Fantasy, Slice of Life",Movie,1.0,"Madhouse, VAP, Dentsu, Yomiuri Telecasting, Kadokawa Shoten, Toho, Hiroshima Television",Studio Chizu,Original,1 hr. 57 min.,56.0,170.0,616049,10216,11338,448228,3366,1277,151840
Pecola,6.509999194911844,Kids,TV,26.0,"Yomiko Advertising, Nelvana, Milky Cartoon",SBS TV Production,Manga,25 min. per ep.,11510.0,13120.0,339,1,12,154,16,61,96
Track City,6.2,"Action, Cars",TV,26.0,"Yomiko Advertising, Nelvana, Milky Cartoon",SBS TV Production,Manga,24 min. per ep.,7362.0,10592.0,938,2,34,489,22,114,279
Bakuman. 3rd Season,8.58,"Comedy, Drama, Romance, Shounen",TV,25.0,"NHK, Shueisha",J.C.Staff,Manga,24 min. per ep.,78.0,537.0,268794,2815,8589,199772,4779,2711,52943
Shining Hearts: Shiawase no Pan,6.15,"Action, Fantasy",TV,12.0,"Avex Entertainment, Sega, DAX Production, Volks",Production I.G,Game,24 min. per ep.,7551.0,2609.0,38128,42,2386,18475,1678,3403,12186
Bosco no Mori no Nakama-tachi,6.509999194911844,"Adventure, Fantasy",Special,1.0,"Avex Entertainment, Sega, DAX Production, Volks",Collaboration Works,Original,5 min.,13495.0,14154.0,248,0,6,114,4,39,85
Star☆Jewel,6.48,"Hentai, Yuri",OVA,1.0,Zyc,Collaboration Works,Original,41 min.,865.0,6417.0,5112,32,371,2802,175,205,1559
Maki-chan to Now.,7.41,Hentai,OVA,4.0,Zyc,Collaboration Works,Visual novel,30 min. per ep.,866.0,3450.0,22510,248,3206,11995,1180,781,5348
Mouretsu Atarou (1990),6.509999194911844,"Comedy, Kids, Slice of Life",TV,34.0,TV Asahi,Toei Animation,Manga,24 min. per ep.,15677.0,13683.0,282,0,17,73,14,50,128
Oyako Club,5.6,"Slice of Life, Comedy",TV,1818.0,Fuji TV,Eiken,Original,5 min. per ep.,9440.0,11257.0,716,0,39,428,17,99,133
Original Video Romance Animation,6.509999194911844,"Comedy, Hentai",OVA,2.0,Fuji TV,Toei Animation,Novel,25 min. per ep.,867.0,12305.0,470,0,39,146,29,75,181
Touyama Sakura Uchuu Chou: Yatsu no Na wa Gold,5.52,"Action, Sci-Fi",OVA,1.0,Fuji TV,Toei Animation,Novel,59 min.,9650.0,12396.0,454,0,22,170,9,29,224
The Gakuen Choujo-tai,5.53,"Action, Demons, Shoujo, Super Power",OVA,1.0,Fuji TV,Magic Bus,Novel,45 min.,9619.0,11646.0,613,0,26,239,8,34,306
Yuru Yuri♪♪,7.85,"Slice of Life, Comedy, School, Shoujo Ai",TV,12.0,"Sotsu, Pony Canyon, DAX Production",Doga Kobo,Manga,23 min. per ep.,747.0,990.0,150091,935,5269,110706,3215,2409,28492
Inga Nikki,6.13,Parody,ONA,10.0,"Sotsu, Pony Canyon, DAX Production",Bones,Original,22 sec. per ep.,7673.0,5848.0,6443,2,115,3968,105,144,2111
Jormungand,7.85,"Action, Adventure, Seinen",TV,12.0,"Geneon Universal Entertainment, Shogakukan-Shueisha Productions",White Fox,Manga,24 min. per ep.,740.0,528.0,270163,2515,13485,152313,8049,7681,88635
Guilty Crown: Kiseki - Reassortment,7.15,"Action, Sci-Fi, Super Power",Special,1.0,"Geneon Universal Entertainment, Shogakukan-Shueisha Productions",Production I.G,Original,48 min.,2988.0,2821.0,32914,47,651,22420,437,409,8997
Last Exile: Ginyoku no Fam - Adjournment,6.49,"Action, Sci-Fi, Adventure",Special,2.0,"Geneon Universal Entertainment, Shogakukan-Shueisha Productions",Gonzo,Manga,24 min. per ep.,5960.0,6058.0,5867,1,135,3772,100,137,1723
Uchuu Kyoudai,8.52,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99.0,"Aniplex, Dentsu, YTV, Trinity Sound",A-1 Pictures,Manga,24 min. per ep.,95.0,991.0,150428,3404,16552,37234,13009,6948,76685
Kyokugen Dasshutsu Adv: Zennin Shibou Desu Prologue,6.1,Mystery,ONA,1.0,"Aniplex, Dentsu, YTV, Trinity Sound",Gonzo,Visual novel,12 min.,7822.0,6853.0,4344,8,88,2847,52,43,1314
Yuri Seijin Naoko-san (2012),6.5,"Comedy, Shoujo Ai",OVA,1.0,Aniplex,ufotable,Manga,28 min.,5921.0,4680.0,11332,21,243,7304,107,86,3592
"Soukou Kihei Votoms Vol.I: Stories of the ""A.T.Votoms""",6.4,"Action, Military, Sci-Fi, Drama, Mecha",OVA,1.0,Aniplex,Sunrise,Original,55 min.,6397.0,11493.0,650,0,27,247,9,51,316
"Soukou Kihei Votoms Vol.II: Highlights from the ""A.T.Votoms""",6.18,"Action, Military, Sci-Fi, Drama, Mecha",OVA,1.0,Aniplex,Sunrise,Original,57 min.,7471.0,11714.0,598,1,21,227,10,52,288
Tasogare Otome x Amnesia,7.86,"Horror, Mystery, Romance, School, Shounen, Supernatural",TV,12.0,"Square Enix, Media Factory",SILVER LINK.,Manga,23 min. per ep.,729.0,436.0,316252,4053,15615,186375,9195,8603,96464
Ben-To Picture Drama,6.11,Comedy,Special,6.0,AT-X,David Production,Light novel,9 min. per ep.,7758.0,4831.0,10380,4,462,5192,581,455,3690
Maken-Ki! Specials,6.19,"Ecchi, Sports",Special,6.0,AIC,Studio Pierrot,Manga,10 min. per ep.,7429.0,3277.0,25114,20,752,17490,441,482,5949
Gattai Robot Atranger,6.509999194911844,Mecha,OVA,1.0,AIC,Studio Pierrot,Manga,13 min.,14085.0,13841.0,272,0,9,93,9,38,123
Yuu☆Yuu☆Hakusho: Mu Mu Hakusho - Nightmare Hakusho,6.58,Comedy,OVA,4.0,AIC,Studio Pierrot,Manga,2 min. per ep.,5510.0,5537.0,7428,5,154,4425,145,111,2593
Hiiro no Kakera,6.74,"Fantasy, Romance, Shoujo, Supernatural",TV,13.0,"Bandai Visual, Lantis, YTV, DAX Production, Enterbrain",Studio Deen,Visual novel,24 min. per ep.,4716.0,1482.0,93779,436,5219,51361,3574,6683,26942
Nazo no Kanojo X,7.25,"Romance, School, Seinen",TV,13.0,"Starchild Records, Kodansha, Yomiuri Advertising, Atelier Musa",Hoods Entertainment,Manga,24 min. per ep.,2553.0,725.0,202006,1876,10112,121180,6422,12135,52157
